#RIC,Domain,Date-Time,GMT Offset,Type,Price,Volume,Exch Time,MMT Classification
PRU.L,Market Price,2021-06-07T07:00:09.543387219Z,+1,Trade,1481.5,11379,07:00:09.478177000,1O-------P----
PRU.L,Market Price,2021-06-07T07:00:12.907614797Z,+1,Trade,1477.5,703,07:00:12.859753000,12-------PH---
PRU.L,Market Price,2021-06-07T07:00:12.907614797Z,+1,Trade,1477.5,327,07:00:12.859753000,12-------PH---
PRU.L,Market Price,2021-06-07T07:00:12.907614797Z,+1,Trade,1477.5,650,07:00:12.859753000,12-------PH---
PRU.L,Market Price,2021-06-07T07:00:12.911005247Z,+1,Trade,1478,327,07:00:12.860655000,12-------PH---
PRU.L,Market Price,2021-06-07T07:00:12.911005247Z,+1,Trade,1478,201,07:00:12.860655000,12-------PH---
PRU.L,Market Price,2021-06-07T07:00:12.911005247Z,+1,Trade,1478,144,07:00:12.860661000,12-------PH---
PRU.L,Market Price,2021-06-07T07:00:12.911005247Z,+1,Trade,1478,138,07:00:12.860775000,12-------PH---
PRU.L,Market Price,2021-06-07T07:00:12.911005247Z,+1,Trade,1478.5,327,07:00:12.861051000,12-------PH---
PRU.L,Market Price,2021-06-07T07:00:12.911005247Z,+1,Trade,1478,282,07:00:12.861101000,12-------PH---
PRU.L,Market Price,2021-06-07T07:00:12.955411185Z,+1,Trade,1479.5,100,07:00:12.906790000,12-------PH---
PRU.L,Market Price,2021-06-07T07:00:16.555582712Z,+1,Trade,1481.5,825,07:00:09.478000000,45------MP----
PRU.L,Market Price,2021-06-07T07:00:26.539740972Z,+1,Trade,1478.5,3,07:00:26.488672000,12-------PH---
PRU.L,Market Price,2021-06-07T07:00:26.539740972Z,+1,Trade,1478.5,219,07:00:26.488672000,12-------PH---
PRU.L,Market Price,2021-06-07T07:00:26.539740972Z,+1,Trade,1478,657,07:00:26.489009000,12-------PH---
PRU.L,Market Price,2021-06-07T07:00:26.539740972Z,+1,Trade,1477,719,07:00:26.489792000,12-------PH---
PRU.L,Market Price,2021-06-07T07:00:26.539740972Z,+1,Trade,1477,364,07:00:26.490667000,12-------PH---
PRU.L,Market Price,2021-06-07T07:00:35.199670826Z,+1,Trade,1478.5,208,07:00:35.151575000,12-------PH---
PRU.L,Market Price,2021-06-07T07:00:35.199670826Z,+1,Trade,1479,290,07:00:35.152153000,12-------PH---
PRU.L,Market Price,2021-06-07T07:00:35.199670826Z,+1,Trade,1479,51,07:00:35.152153000,12-------PH---
PRU.L,Market Price,2021-06-07T07:00:35.199670826Z,+1,Trade,1479,68,07:00:35.152162000,12-------PH---
PRU.L,Market Price,2021-06-07T07:00:35.327132307Z,+1,Trade,1479,1,07:00:35.235000000,47------MP----
